issue_id,issue_type,source_system,source_transaction_id,related_transaction_id,transaction_date,customer_or_vendor_name,expected_amount,actual_amount,difference_amount,description,status,notes
ISSUE-2026-0090,Amount Difference,Payment Gateway,PG-2026-9788,INV-2026-0442,2026.07.14,Туул Гол Девелопмент ХХК,7055000,7154000,99000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0442-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0091,Missing Transaction,Accounting Ledger,INV-2026-0237,,2026.07.29,Сэлэнгэ Цемент ХХК,3587000,0,3587000,Нэхэмжлэх INV-2026-0237-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0092,Duplicate Transaction,Payment Gateway,PG-2026-9843,INV-2026-0137,2026.07.08,Номин Апарел ХХК,2440000,2440000,2440000,INV-2026-0137-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0093,Wrong Reference,Bank Statement,BSMN-2026-9833,INV-2026-0142,2026.07.23,Тэнгэр Инвест ХХК,5388000,5388000,0,Гүйлгээний утга алдаатай ('INV-2026-01XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0094,Amount Difference,Payment Gateway,PG-2026-9981,INV-2026-0140,2026.07.07,Эрдэнэт Майнинг ХХК,11068000,10186000,-882000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0140-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0095,Missing Transaction,Accounting Ledger,INV-2026-0373,,2026.07.17,Батбаяр Констракшн ЖДҮ ХХК,965000,0,965000,Нэхэмжлэх INV-2026-0373-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0096,Duplicate Transaction,Payment Gateway,PG-2026-9476,INV-2026-0408,2026.07.12,Хас Ложистик ХХК,2136000,2136000,2136000,INV-2026-0408-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0097,Wrong Reference,Bank Statement,BSMN-2026-9169,INV-2026-0213,2026.07.28,Улаанбаатар Билдинг ХХК,14049000,14049000,0,Гүйлгээний утга алдаатай ('INV-2026-02XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0098,Amount Difference,Payment Gateway,PG-2026-9541,INV-2026-0222,2026.07.07,Алтай Трейд ХХК,16038000,15827000,-211000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0222-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0099,Missing Transaction,Accounting Ledger,INV-2026-0287,,2026.07.22,Зост Групп ХХК,3722000,0,3722000,Нэхэмжлэх INV-2026-0287-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0100,Duplicate Transaction,Payment Gateway,PG-2026-9072,INV-2026-0250,2026.07.31,Наран Энержи ХХК,13628000,13628000,13628000,INV-2026-0250-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
